start_time,end_time,sleep_type
2024-12-26T23:59:00.0,2024-12-27T00:03:00.0,1.0
2024-12-27T00:03:00.0,2024-12-27T00:24:00.0,0.0
2024-12-27T00:24:00.0,2024-12-27T00:29:00.0,1.0
2024-12-27T00:29:00.0,2024-12-27T00:35:00.0,0.0
2024-12-27T00:35:00.0,2024-12-27T01:41:00.0,1.0
2024-12-27T01:41:00.0,2024-12-27T02:07:00.0,0.0
2024-12-27T02:07:00.0,2024-12-27T02:18:00.0,1.0
2024-12-27T02:18:00.0,2024-12-27T02:37:00.0,0.0
2024-12-27T02:37:00.0,2024-12-27T04:14:00.0,1.0
2024-12-27T04:14:00.0,2024-12-27T04:17:00.0,3.0
2024-12-27T04:17:00.0,2024-12-27T05:21:00.0,1.0
2024-12-27T05:21:00.0,2024-12-27T05:31:00.0,0.0
2024-12-27T05:31:00.0,2024-12-27T05:49:00.0,1.0
2024-12-27T05:49:00.0,2024-12-27T06:01:00.0,2.0
2024-12-27T06:01:00.0,2024-12-27T06:03:00.0,3.0
2024-12-27T06:03:00.0,2024-12-27T06:13:00.0,1.0
2024-12-27T06:13:00.0,2024-12-27T06:56:00.0,2.0
